fruit_name,fruit_subtype,width,height,color_score
1,apple,192,8.4,7.3
1,apple,180,8,6.8
1,apple,176,7.4,7.2
0,mandarin,86,6.2,4.7
0,mandarin,84,6,4.6
0,mandarin,80,5.8,4.3
0,mandarin,80,5.9,4.3
0,mandarin,76,5.8,4
1,apple,178,7.1,7.8
1,apple,172,7.4,7
1,apple,166,6.9,7.3
1,apple,172,7.1,7.6
1,apple,154,7,7.1
1,apple,164,7.3,7.7
1,apple,152,7.6,7.3
1,apple,156,7.7,7.1
1,apple,156,7.6,7.5
1,apple,168,7.5,7.6
1,apple,162,7.5,7.1
1,apple,162,7.4,7.2
1,apple,160,7.5,7.5
1,apple,156,7.4,7.4
1,apple,140,7.3,7.1
1,apple,170,7.6,7.9
